
!EXCLAMATION-POINT  EH K - S K L AH - M EY - SH AH N - P OY N T
"CLOSE-QUOTE  K L OW Z - K W OW T
"END-OF-QUOTE  EH N - D AH V - K W OW T
"END-QUOTE  EH N D - K W OW T
"QUOTE  K W OW T
"UNQUOTE  AH N - K W OW T
#SHARP-SIGN  SH AA R P - S AY N
&AMPERSAND  AE M - P ER - S AE N D
'CAUSE  K AH Z
'COURSE  K AO R S
'EM  AH M
'END-INNER-QUOTE  EH N - D IH - N ER - K W OW T
'END-QUOTE  EH N D - K W OW T
'INNER-QUOTE  IH - N ER - K W OW T
'M  AH M
'N  AH N
'QUOTE  K W OW T
'S  EH S
'SINGLE-QUOTE  S IH NG - G AH L - K W OW T
'TIL  T IH L
'TIS  T IH Z
(BEGIN-PARENS  B IH - G IH N - P ER - EH N Z
(IN-PARENTHESES  IH N - P ER - EH N - TH AH - S IY Z
(LEFT-PAREN  L EH F T - P ER - EH N
(OPEN-PARENTHESES  OW - P AH N - P ER - EH N - TH AH - S IY Z
(PAREN  P ER - EH N
(PARENS  P ER - EH N Z
(PARENTHESES  P ER - EH N - TH AH - S IY Z
)CLOSE-PARENTHESES  K L OW Z - P ER - EH N - TH AH - S IY Z
)END-PAREN  EH N D - P ER - EH N
)END-PARENS  EH N D - P ER - EH N Z
)END-THE-PAREN  EH N D - DH AH - P ER - EH N
)PAREN  P ER - EH N
)PARENS  P ER - EH N Z
)RIGHT-PAREN  R AY T - P ER - EH N
)UN-PARENTHESES  AH N - P ER - EH N - TH AH - S IY Z
,COMMA  K AA - M AH
-DASH  D AE SH
...ELLIPSIS  IH - L IH P - S IH S
.DECIMAL  D EH - S AH - M AH L
.DOT  D AA T
.FULL-STOP  F UH L - S T AA P
.PERIOD  P IH - R IY - AH D
.POINT  P OY N T
/SLASH  S L AE SH
MALEFACTORS  M AE - L AH - F AE K - T ER Z
:COLON  K OW - L AH N
;SEMI-COLON  S EH - M IY - K OW - L AH N
;SEMI-COLON()  S EH - M IH - K OW - L AH N
?QUESTION-MARK  K W EH S - CH AH N - M AA R K
A  AH
A'S  EY Z
A()  EY
A.  EY
A.'S  EY Z
A.S  EY Z
A48  EY - F AO R - T UW - W AH N - T UW - EY T
AAA  T R IH - P AH - L EY
AABERG  AA - B ER G
AACHEN  AA - K AH N
AALSETH  AA L - S EH TH
AAMODT  AA - M AH T
AANCOR  AA N - K AO R
AARDEMA  AA R - D EH - M AH
AARDVARK  AA R D - V AA R K
AARON'S  EH - R AH N Z
AARONSON'S  EH - R AH N - S AH N Z
AARONSON'S()  AA - R AH N - S AH N Z
AASEN  AA - S AH N
AB  AE B
AB()  EY - B IY
ABABA  AH - B AA - B AH
ABABA()  AA - B AH - B AH
ABACHA  AE - B AH - K AH
ABACK  AH - B AE K
ABACO  AE - B AH - K OW
ABACUS  AE - B AH - K AH S
ABAD  AH - B AA D
ABADI  AH - B AE - D IY
ABAIR  AH - B EH R
ABALONE  AE - B AH - L OW - N IY
ABALOS  AA - B AA - L OW Z
ABANDON  AH - B AE N - D AH N
ABANDONED  AH - B AE N - D AH N D
ABANDONING  AH - B AE N - D AH - N IH NG
ABANDONMENT  AH - B AE N - D AH N - M AH N T
ABANDONS  AH - B AE N - D AH N Z
ABANTO  AH - B AE N - T OW
ABARCA  AH - B AA R - K AH
ABARE  AA - B AA - R IY
ABASCAL  AE - B AH S - K AH L
ABASH  AH - B AE SH
ABASHED  AH - B AE SH T
ABATE  AH - B EY T
ABATEMENT  AH - B EY T - M AH N T
ABATEMENTS  AH - B EY T - M AH N T S
ABATING  AH - B EY - T IH NG
ABBA  AE - B AH
ABBAS  AH - B AA S
ABBASI  AA - B AA - S IY
ABBATE  AA - B EY T
ABBATIELLO  AA - B AA - T IY - EH - L OW
ABBE  AE - B IY
ABBE()  AE - B EY
ABBENHAUS  AE - B AH N - HH AW S
ABBETT  AH - B EH T
ABBEVILLE  AE B - V IH L
ABBEY  AE - B IY
ABBEY'S  AE - B IY Z
ABBIE  AE - B IY
ABBOT  AE - B AH T
ABBOTT  AE - B AH T
ABBOTT'S  AE - B AH T S
ABBOUD  AH - B UW D
ABBOUD()  AH - B AW D
ABBREVIATE  AH - B R IY - V IY - EY T
ABBREVIATED  AH - B R IY - V IY - EY - T AH D
ABBREVIATED()  AH - B R IY - V IY - EY - T IH D
ABBREVIATES  AH - B R IY - V IY - EY T S
ABBREVIATING  AH - B R IY - V IY - EY - T IH NG
ABBREVIATION  AH - B R IY - V IY - EY - SH AH N
ABBREVIATIONS  AH - B R IY - V IY - EY - SH AH N Z
ABBRUZZESE  AA - B R UW T - S EY - Z IY
ABBS  AE B Z
ABBY  AE - B IY
ABCO  AE B - K OW
ABCOTEK  AE B - K OW - T EH K
ABDALLA  AE B - D AE - L AH
ABDALLAH  AE B - D AE - L AH
ABDEL  AE B - D EH L
ABDICATE  AE B - D AH - K EY T
ABDICATES  AE B - D AH - K EY T S
ABDICATING  AE B - D IH - K EY - T IH NG
ABDNOR  AE B D - N ER
ABDOLLAH  AE B - D AA - L AH
ABDOMEN  AE B - D OW - M AH N
ABDOMEN()  AE B - D AH - M AH N
ABDOMINAL  AE B - D AA - M AH - N AH L
ABDOMINAL()  AH B - D AA - M AH - N AH L
ABDUCT  AE B - D AH K T
ABDUCTED()  AH B - D AH K - T IH D
ABDUCTEE  AE B - D AH K - T IY
ABDUCTING  AE B - D AH K - T IH NG
ABDUCTION  AE B - D AH K - SH AH N
ABDUCTION()  AH B - D AH K - SH AH N
ABDUCTOR  AE B - D AH K - T ER
ABDUCTOR()  AH B - D AH K - T ER
ABDUCTORS()  AH B - D AH K - T ER Z
ABDUCTS  AE B - D AH K T S
ABDUL  AE B - D UW L
ABDULAZIZ  AE B - D UW - L AH - Z IY Z
ABDULLA  AA B - D UW - L AH
ABE  EY B
ABED  AH - B EH D
ABEDI  AH - B EH - D IY
ABEE  AH - B IY
ABELE  AH - B IY L
ABELES  AH - B IY L Z
ABELES()  EY - B AH - L IY Z
ABELLA  AH - B EH - L AH
ABELN  AE - B IH L N
ABELOW  AE - B AH - L OW
ABELS  EY - B AH L Z
ABELSON  AE - B IH L - S AH N
ABEND  AE - B EH N D
ABEND()  AH - B EH N D
ABENDROTH  AE - B IH N - D R AO TH
ABER  EY - B ER
ABERDEEN  AE - B ER - D IY N
ABERG  AE - B ER G
ABERLE  AE - B ER - AH L
ABERLE()  AE - B ER L
ABERNATHY  AE - B ER - N AE - TH IY
ABERNETHY  AE - B ER - N EH - TH IY
ABERRANT  AE - B EH - R AH N T
ABERRATION  AE - B ER - EY - SH AH N
ABERRATIONAL  AE - B ER - EY - SH AH - N AH L
ABERRATIONS  AE - B ER - EY - SH AH N Z
ABERT  AE - B ER T
ABET  AH - B EH T
ABEX  EY - B EH K S
ABEYANCE  AH - B EY - AH N S
ABEYTA  AA - B EY - T AH
ABHOR  AE B - HH AO R
ABHORRED  AH B - HH AO R D
ABHORRENCE  AH B - HH AO - R AH N S
ABHORRENT  AE B - HH AO - R AH N T
ABID  EY - B IH D
ABIDE  AH - B AY D
ABIDED  AH - B AY - D IH D
ABIDES  AH - B AY D Z
ABIDING  AH - B AY - D IH NG
ABIGAIL  AE - B AH - G EY L
ABILA  AA - B IY - L AH
ABILENE  AE - B IH - L IY N
ABILITIES  AH - B IH - L AH - T IY Z
ABILITY  AH - B IH - L AH - T IY
ABINGTON  AE - B IH NG - T AH N
ABIO  AA - B IY - OW
ABIOLA  AA - B IY - OW - L AH
ABIOLA'S  AA - B IY - OW - L AH Z
ABIOMED  EY - B IY - AH - M EH D
ABITZ  AE - B IH T S
ABJECT  AE B - JH EH K T
ABKHAZIA  AE B K - HH AA - Z Y AH
ABKHAZIA()  AE B K - HH AE - Z Y AH
ABKHAZIAN  AE B K - HH AA - Z IY - AH N
ABKHAZIAN()  AE B K - HH AE - Z IY - AH N
ABKHAZIAN(4)  AE B K - HH AE - Z Y AH N
ABKHAZIANS  AE B K - HH AA - Z IY - AH N Z
ABKHAZIANS()  AE B K - HH AE - Z IY - AH N Z
ABLAZE  AH - B L EY Z
ABLE  EY - B AH L
ABLED  EY - B AH L D
ABLER  EY - B AH L - ER
ABLES  EY - B AH L Z
ABLEST  EY - B AH L S T
ABLEST()  EY - B L AH S T
ABLY  EY - B L IY
ABNEY  AE B - N IY
ABNORMAL  AE B - N AO R - M AH L
ABNORMALITIES  AE B - N AO R - M AE - L AH - T IY Z
ABNORMALITY  AE B - N AO R - M AE - L AH - T IY
ABNORMALLY  AE B - N AO R - M AH - L IY
ABO  AA - B OW
ABO'S  AA - B OW Z
ABOARD  AH - B AO R D
ABODE  AH - B OW D
ABOLISH  AH - B AA - L IH SH
ABOLISHED  AH - B AA - L IH SH T
ABOLISHING  AH - B AA - L IH - SH IH NG
ABOLITION  AE - B AH - L IH - SH AH N
ABOLITIONISM  AE - B AH - L IH - SH AH - N IH - Z AH M
ABOLITIONIST  AE - B AH - L IH - SH AH - N AH S T
ABOLITIONISTS  AE - B AH - L IH - SH AH - N AH S T S
ABOLITIONISTS()  AE - B AH - L IH - SH AH - N AH S S
ABOLITIONISTS(3)  AE - B AH - L IH - SH AH - N AH S
ABOMINABLE  AH - B AA - M AH - N AH - B AH L
ABOMINATION  AH - B AA - M AH - N EY - SH AH N
ABOODI  AH - B UW - D IY
ABORIGINAL  AE - B ER - IH - JH AH - N AH L
ABORIGINE  AE - B ER - IH - JH AH - N IY
ABORIGINES  AE - B ER - IH - JH AH - N IY Z
ABORN  AH - B AO R N
ABORT  AH - B AO R T
ABORTED  AH - B AO R - T IH D
ABORTIFACIENT  AH - B AO R - T AH - F EY - SH AH N T
ABORTING  AH - B AO R - T IH NG
ABORTION  AH - B AO R - SH AH N
ABORTIONISTS()  AH - B AO R - SH AH N - IH S S
ABORTIONISTS(3)  AH - B AO R - SH AH N - IH S
ABORTIONS  AH - B AO R - SH AH N Z
ABORTIVE  AH - B AO R - T IH V
ABOUD  AA - B UW D
ABOUHALIMA  AA - B UW - HH AA - L IY - M AH
ABOUND  AH - B AW N D
ABOUNDED  AH - B AW N - D IH D
ABOUNDS  AH - B AW N D Z
ABOUT  AH - B AW T
ABOUT'S  AH - B AW T S
ABOVE  AH - B AH V
ABOVE'S  AH - B AH V Z
ABOVEBOARD  AH - B AH V - B AO R D
ABPLANALP  AE B - P L AH - N AE L P
ABRACADABRA  AE - B R AH - K AH - D AE - B R AH
ABRAHAM  EY - B R AH - HH AE M
ABRAHAMIAN  AE - B R AH - HH EY - M IY - AH N
ABRAHAMS  EY - B R AH - HH AE M Z
ABRAHAMSEN  AE - B R AH - HH AE M - S AH N
ABRAHAMSON  AH - B R AE - HH AH M - S AH N
ABRAM  AH - B R AE M
ABRAMO  AA - B R AA - M OW
ABRAMOVITZ  AH - B R AA - M AH - V IH T S
ABRAMOWICZ  AH - B R AA - M AH - V IH CH
ABRAMOWITZ  AH - B R AA - M AH - W IH T S
ABRAMS  EY - B R AH M Z
ABRAMSON  EY - B R AH M - S AH N
ABRASION  AH - B R EY - ZH AH N
ABRASIONS  AH - B R EY - ZH AH N Z
ABRASIVES  AH - B R EY - S IH V Z
ABREAST  AH - B R EH S T
ABREGO  AA - B R EH - G OW
ABREU  AH - B R UW
ABRIDGED  AH - B R IH JH D
ABRIL  AH - B R IH L
ABROGATING  AE - B R AH - G EY - T IH NG
ABROGATION  AE - B R AH - G EY - SH AH N
ABRON  AH - B R AA N
ABRUPT  AH - B R AH P T
ABRUPTNESS  AH - B R AH P T - N AH S
ABRUTYN  EY - B R UW - T IH N
ABRUZZESE  AA - B R UW T - S EY - Z IY
ABS  EY - B IY - EH S
ABS()  AE B Z
ABSALOM  AE B - S AH - L AH M
ABSCAM  AE B - S K AE M
ABSCESS  AE B - S EH S
ABSENCE  AE B - S AH N S
ABSENTEE  AE B - S AH N - T IY
ABSENTEEISM  AE B - S AH N - T IY - IH - Z AH M
ABSENTEES  AE B - S AH N - T IY Z
ABSENTIA  AE B - S EH N - SH AH
ABSHIRE  AE B - SH AY R
ABSO  AE B - S OW
ABSOLOM  AE B - S AH - L AH M
ABSOLUTE  AE B - S AH - L UW T
ABSOLUTELY  AE B - S AH - L UW T - L IY
ABSOLUTENESS  AE B - S AH - L UW T - N AH S
ABSOLUTES  AE B - S AH - L UW T S
ABSOLUTION  AE B - S AH - L UW - SH AH N
ABSOLUTISM  AE B - S AH - L UW - T IH - Z AH M
ABSOLUTIST  AE B - S IH - L UW - T IH S T
ABSOLVE  AH B - Z AA L V
ABSOLVE()  AE B - Z AA L V
ABSOLVED  AH B - Z AA L V D
ABSOLVED()  AE B - Z AA L V D
ABSOLVES  AH B - Z AA L V Z
ABSOLVES()  AE B - Z AA L V Z
ABSOLVING()  AE B - Z AA L - V IH NG
ABSORB  AH B - Z AO R B
ABSORBED  AH B - Z AO R B D
ABSORBENT  AH B - Z AO R - B AH N T
ABSORBER  AH B - Z AO R - B ER
ABSORBERS  AH B - Z AO R - B ER Z
ABSORBING  AH B - Z AO R - B IH NG
ABSORBS  AH B - Z AO R B Z
ABSORPTION()  AH B - S AO R P - SH AH N
ABSTAIN()  AE B - S T EY N
ABSTAINED  AH B - S T EY N D
ABSTAINED()  AE B - S T EY N D
ABSTAINING  AH B - S T EY - N IH NG
ABSTAINING()  AE B - S T EY - N IH NG
ABSTENTION  AH B - S T EH N - CH AH N
ABSTENTION()  AE B - S T EH N - CH AH N
ABSTENTIONS  AH B - S T EH N - CH AH N Z
ABSTENTIONS()  AE B - S T EH N - CH AH N Z
ABSTINENCE  AE B - S T AH - N AH N S
ABSTINENT  AE B - S T AH - N AH N T
ABSTON  AE B - S T AH N
ABSTRACT()  AE B - S T R AE K T
ABSTRACTION  AE B - S T R AE K - SH AH N
ABSTRACTIONS  AE B - S T R AE K - SH AH N Z
ABSTRACTS  AE B - S T R AE K T S
ABSTRUSE  AH B - S T R UW S
ABSURD  AH B - S ER D
ABSURDITIES  AH B - S ER - D AH - T IY Z
ABSURDITY  AH B - S ER - D AH - T IY
ABSURDLY  AH B - S ER D - L IY
ABT  AE B T
ABTS  AE B T S
ABTS()  EY - B IY - T IY Z
ABU  AE - B UW
ABUDRAHM  AH - B AH - D R AH M
ABULADZE  AE - B Y UW - L AE D - Z IY
ABUNDANT  AH - B AH N - D AH N T
ABURTO  AH - B UH R - T OW
ABURTO'S  AH - B UH R - T OW Z
ABUSE  AH - B Y UW S
ABUSE()  AH - B Y UW Z
ABUSED  AH - B Y UW Z D
ABUSERS  AH - B Y UW - Z ER Z
ABUSES  AH - B Y UW - S IH Z
ABUSING  AH - B Y UW - Z IH NG
ABUSIVE  AH - B Y UW - S IH V
ABUTS  AH - B AH T S
ABUTTED  AH - B AH - T AH D
ABUTTING  AH - B AH - T IH NG
ABUZZ  AH - B AH Z
ABYSMAL  AH - B IH Z - M AH L
ABYSMALLY  AH - B IH Z - M AH - L IY
ABYSS  AH - B IH S
ABZUG  AE B - Z AH G
ABZUG()  AE B - Z UH G
ACA  AE - K AH
ACACIA  AH - K EY - SH AH
ACADEME  AE - K AH - D IY M
ACADEMIA  AE - K AH - D IY - M IY - AH
ACADEMICALLY  AE - K AH - D EH - M IH K - L IY
ACADEMICIAN  AE - K AH - D AH - M IH - SH AH N
ACADEMICIANS()  AH - K AE - D AH - M IH - SH AH N Z
ACADEMICS  AE - K AH - D EH - M IH K S
ACADEMIES  AH - K AE - D AH - M IY Z
ACADEMY  AH - K AE - D AH - M IY
ACADEMY'S  AH - K AE - D AH - M IY Z
ACADIA  AH - K EY - D IY - AH
ACANTHA  AA - K AA N - DH AH
ACAPULCO  AE - K AH - P UH L - K OW
ACCARDI  AA - K AA R - D IY
ACCEDE  AE K - S IY D
ACCEDED  AE K - S IY - D IH D
ACCEDES  AE K - S IY D Z
ACCEDING  AE K - S IY - D IH NG
ACCEL  AH K - S EH L
ACCELERANT  AE K - S EH - L ER - AH N T
ACCELERANTS  AE K - S EH - L ER - AH N T S
ACCELERATED  AE K - S EH - L ER - EY - T IH D
ACCELERATES  AE K - S EH - L ER - EY T S
ACCELERATING  AE K - S EH - L ER - EY - T IH NG
ACCELERATION  AE K - S EH - L ER - EY - SH AH N
ACCELERATOR  AE K - S EH - L ER - EY - T ER
ACCELEROMETERS  AE K - S EH - L ER - AA - M AH - T ER Z
ACCENT  AH K - S EH N T
ACCENT()  AE K - S EH N T
ACCENTED  AE K - S EH N - T IH D
ACCENTING  AE K - S EH N - T IH NG
ACCENTS  AE K - S EH N T S
ACCENTUATE  AE K - S EH N - CH UW - EY T
ACCENTUATES  AE K - S EH N - CH UW - EY T S
ACCENTUATING  AE K - S EH N - CH AH W - EY - T IH NG
ACCEPT  AE K - S EH P T
ACCEPT()  AH K - S EH P T
ACCEPTABILITY  AH K - S EH P - T AH - B IH - L AH - T IY
ACCEPTABLE()  AH K - S EH P - T AH - B AH L
ACCEPTANCE  AE K - S EH P - T AH N S
ACCEPTANCE()  AH K - S EH P - T AH N S
ACCEPTANCES  AE K - S EH P - T AH N - S IH Z
ACCEPTED()  AH K - S EH P - T AH D
ACCEPTING  AE K - S EH P - T IH NG
ACCEPTING()  AH K - S EH P - T IH NG
ACCEPTS  AE K - S EH P T S
ACCESS  AE K - S EH S
ACCESSED  AE K - S EH S T
ACCESSIBILITY  AE K - S EH - S AH - B IH - L IH - T IY
ACCESSIBLE  AE K - S EH - S AH - B AH L
ACCESSING  AE K - S EH - S IH NG
ACCESSION  AH K - S EH - SH AH N
ACCESSORIES  AE K - S EH - S ER - IY Z
ACCESSORIZE  AE K - S EH - S ER - AY Z
ACCESSORIZED  AE K - S EH - S ER - AY Z D
ACCIDENT  AE K - S AH - D AH N T
ACCIDENT'S  AE K - S AH - D AH N T S
ACCIDENTAL  AE K - S AH - D EH N - T AH L
ACCIDENTAL()  AE K - S AH - D EH - N AH L
ACCIDENTALLY  AE K - S AH - D EH N - T AH - L IY
ACCIDENTALLY()  AE K - S AH - D EH - N AH - L IY
ACCIDENTLY  AE K - S AH - D AH N T - L IY
ACCIDENTS  AE K - S AH - D AH N T S
ACCIVAL  AE - S IH - V AA L
ACCLAIM  AH - K L EY M
ACCLAIMED  AH - K L EY M D
