# Akcenty, zaznaczane wielką literą (tylko samogłoska), nie muszą być uwzględniane

abonamentów a-b-o-n-a-m-E-n-t-u-f
absencję a-p-s-E-n-c-j-e
abstrahującego a-p-s-t-r-a-h-u-j-o-n-c-E-g-o
adiunkci a-d-j-U-n-k-ci-i
adoptowawszy a-d-o-p-t-o-w-A-f-sz-y
adresowanie a-d-r-e-s-o-w-A-ni-e
aeromechanikę a-e-r-o-m-e-h-A-ni-i-k-e
agorze a-g-O-rz-e
ajaxy a-j-A-k-s-y
akademią a-k-a-d-E-m-j-on
akrobacją a-k-r-o-b-A-c-j-on
bębenków b-e-m-b-E-n-k-u-f
bębniarza b-e-m-b-ni-A-rz-a
bębnie b-E-m-b-ni-e
biały b-j-A-ll-y
błędną b-ll-E-n-d-n-on
błądzi b-ll-O-ni-dzi-i
błogosławieństwem b-ll-o-g-o-s-ll-a-w-j-E-ni-s-t-f-e-m
bodajże b-O-d-a-j-rz-e
bodnęły b-o-d-n-E-ll-y
bodźców b-O-ci-c-u-f
bombą b-O-m-b-on
bumblujcież b-u-m-b-l-U-j-ci-e-sz
ceregielący c-e-r-e-g-j-e-l-O-n-c-y
cęckiewiczom c-e-n-c-k-j-e-w-I-cz-o-m
chańskim h-A-ni-s-k-i-m
chemii h-E-m-i
chęci h-E-ni-ci-i
cieląt ci-E-l-o-n-t
cwałem c-f-A-ll-e-m
czasopism cz-a-s-O-p-i-s-m
czuciem cz-U-ci-e-m
kształcimy k-sz-t-a-ll-ci-I-m-y
księżynie k-si-en-rz-Y-ni-e
nieatrakcyjność ni-e-a-t-r-a-k-c-Y-j-n-o-si-ci
nieb ni-e-p
niebaczną ni-e-b-A-cz-n-on
nóg n-u-k
nóżeczkami n-u-rz-e-cz-k-A-m-i
nuci n-U-ci-i
analiz a-n-A-l-i-s
anemię a-n-E-m-j-e
brzydzę b-rz-Y-dz-e
brzydził b-rz-Y-dzi-i-ll
brzytwie b-rz-Y-t-f-j-e
bubkowate b-u-p-k-o-w-A-t-e
ludoznawstwem l-u-d-o-z-n-A-f-s-t-f-e-m
ludożerców l-u-d-o-rz-E-r-c-u-f
luksusie l-u-k-s-U-si-e
łodzianie ll-o-dzi-A-ni-e
łodzią ll-O-dzi-on
łodzie ll-O-dzi-e
narządy n-a-rz-O-n-d-y
narządzeń n-a-rz-O-n-dz-e-ni
skąposzczetom s-k-o-m-p-o-sz-cz-E-t-o-m
unaukowiałeś u-n-a-u-k-o-w-j-A-ll-e-si
unaukowiłabym u-n-a-u-k-o-w-I-ll-a-b-y-m
narządzonemu n-a-rz-o-n-dz-o-n-E-m-u
narządźcież n-a-rz-O-ni-ci-ci-e-sz
niełatwa ni-e-ll-A-t-f-a
odkrztusiłyśmy o-t-k-sz-t-u-si-I-ll-y-si-m-y
scukrzałaś s-c-u-k-sz-A-ll-a-si
wschodnioeuropejskich f-s-h-o-d-ni-o-e-ll-r-o-p-E-j-s-k-i-h
wstęga f-s-t-en-g-a
