p-o po
n-a na	
si-e shae
t-o toa
z-a zaah
o o
d-o dow
j-e yea
w-a vaaa
t-a ta
g-o go
j-e-s-t yest
ni-e ney
k-o qo
w-y vy
k-t-o qto
u oo
l-i lee
k-a ka
k-u koo
t-e tae
m-a-ll maew
f-s-t-sz-y fstshyie
n-e nnae
n-o nno
m-i mi
t-u too
n-y ny
ni-i nie
cz-y chy
t-y tiy
p-sz-e pshei
l-e le
o-t aot
ll-a wa
k-i ki
w-j-e vei
r-o ro
ci-i tcee
ll-o wo
s-u soo
p-r-o pro
r-a ra
a a
w-o vo
d-a da
c-y cie
r-e rae
w-e vey
m-o mo
m-a ma
m-y mie
c-j-i ceey
dzi-e jae
p-sz-y ppshy
g-ll-o gwo 
d-y dy
ll-y wiy
j-on yon
s-o so
ci-e che
w-i vi
p-a pa
g-e ghae
d-e dey
c-e tsae
dzi-i gee
cz-e che
i-n yn
m-u moo
dzi-en jen 
n-y-ch nygh
rz-y zhy
s-a sa
b-y bie
d-u do
p-r-a prae
k-j-e ckie
ni-a nja
g-a ga
t-y-m tiem
e eh
j-a ya
b-a bah
s-on son
b-a-r bar
k-o-n ckon
c-o tso
c-j-a cia
dz-o tzo
t-e-m temm
rz-e zheh
c-a tsa
l-a la
r-y rie
s-t-a stah
b-o boh
n-a-j nia
s-p-r-a spprah
ch-o hho
c-j-e syeh
b-u boo
t-e-j tehy
s-y syh
d-l-a dlah
s-e seh
n-e-j neyy
cz-a cha
l-o lo
b-j-e biaeh
u-s ooss
k-u-f ckoof
z-y zieh
p-j-e piaeh
t-sz-e thsheh
m-e meh
w-y-ch vhychh
d-n-a-k dnaack
l-u loo
n-on non
sz-e sheh
f-sz-y-s-t fshyst
g-u goo
w-j-a viyaaah
p-i pee
f-i fee
p-o-l pol
j-u-s-s yoostss
t-e-n ten
t-r-a trah
r-a-s ras
ci-i-w chiev
p-j-e-r pieerr
t-u-f toof
n-y-m nym
d-r-u dru
t-a-k tahk
w-e-j vei
n-a-s nahss
n-u noo
m-j-e mieheh
b-y-ll biiew
r-u-w roov
g-r-a grah
p-r-a-f prahf
p-o-t poat
ni-e-j ney
p-a-ni paein
k-e keh
j-a-k yahk
i e
rz-a zhah
t-sz-y thshy
p-r-e preh
p-u poo
k-r-a krah
n-o-si nosh
t-y-cz teach
r-o-z rohzh
w-a-ll vow
r-u roo
n-a-t naat
p-r-a-w praav
sz-a shah
s-t-f-a stffaaah
s-k-j-e sqiheh
g-rz-e ghzheh
c-y-j tsiee
z-u zoo
ll-u woo
k-on koh
t-y-ch tiehch
z-e zeh
m-j-e-j miehy
ni-e-s-s niehstss
d-ni-i dnii
j-u you
o-d odd
o-s ohs
t-e-r tehr
t-r-o tro
m-e-n menn
b-e-ni ben
j-e-sz yesh
p-sz-e-t ppshet
t-y-l tiehl
ni-i-s niess
p-e-w pehv
r-u-f roof
b-i be
sz-y she
i-ch ygh
s-k-i skie
w-i-s vees
k-i-l kill
dzi-a jiah
ci-on ciohn
i-m ym
dz-e tzeh
p-y py
r-o-s ros
w-on von
w-a-rz vahsh
s-k-j-e-j skeehy
f-o-r for
t-on toan
s-p-o spo
g-i gie
p-sz-e-s pshess
k-o-ni kohyn
rz-o-n zhon
t-r-u true
k-i-m kim
t-ni-e tneh
ch-a ha
l-e-j leyi
k-i-ch kiekh
c-u-f tsooff
s-f-o ssfo
p-a-n paan
d-e-n den
d-n-o dnno
z-o zo
s-j-i siey
w-j-e-n-c viennts
s-t-o sto
i-s yss
b-e-c bets
n-o-si-ci noszts
w-y-s vyss
d-y-s dyss
w-y-m vihm
w-ll-a-si vwasz
w-j-en viehn
p-o-s poss
k-ll-a qua
t-f-o tfo
p-e peh
z-n-a znah
si-i szi
s-t-f-o stfo
b-r-a bra
p-a-t paht
rz-o-n-t zohnt
k-j-e-m ckiaem
t-a-r taar
dz-a tzah
t-a-m taam
t-ni-i tnnie
o-r or
k-a-rz kaasz
z-e-s zess
d-u-f dooff
zi-e zieh
p-e-ll pehu
k-r-e kreh
r-u-rz roosz
z-m-j-a zmiaa
b-e-s behss
rz-o zho
j-e-j yehy
s-k-i-ch skiehk
ni-o nyo
ni-i-ch niehk
w-i-si viesz
a-k aaack
k-j-e-j kiehy
t-f-a tfah
cz-a-s chaass
w-j-on vyon
z-o-s zoss
s-k-a skah
c-u tsoo
d-ni-e dineh
m-j-a meeaa
g-o-s goass
dz-y zie
d-a-r daar
f-a ffah
d-on don
cz-o czo
g-u-l gool
s-t-r-a stra
w-o-si osz
sz-k-o shko
ll-e weh
p-a-r par
p-l-a pla
w-a-r var
k-f-e-s ckfehs
k-o-m ckohmm
w-j-e-l viel
f-u-n foon
d-w-a dvah
k-a-ch qaahk
m-j-a-s-t miaaast
a-r aar
m-ll-o mwo
m-o-rz mosz
d-a-t daat
